date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01 00:00:00,1.8,-0.8,4.9,0,,232,16.2,37,1032.9,
2020-01-02 00:00:00,-0.8,-4,5.3,0,,216,7.4,22.2,1030.9,
2020-01-03 00:00:00,-0.7,-6.7,5.7,0,,208,8.7,27.8,1024.3,
2020-01-04 00:00:00,3.7,-0.2,6.1,1,,236,26.4,50,1018.5,
2020-01-05 00:00:00,0.4,-2.8,2.1,2.8,10,273,18.9,44.5,1028.9,
2020-01-06 00:00:00,-1.2,-5.1,1.7,0,,208,8.6,16.7,1032.6,
2020-01-07 00:00:00,-1.7,-6.6,3,0,,240,7.7,18.5,1028.2,
2020-01-08 00:00:00,1.9,0.2,5.8,0,10,208,10.7,22.2,1029.4,
2020-01-09 00:00:00,4.2,2.8,6.4,2.3,,212,6.8,22.2,1023.9,
2020-01-10 00:00:00,3.9,0,7.4,5.1,,209,11.3,25.9,1020,
2020-01-11 00:00:00,4.2,2.7,6.5,0,,238,18.6,44.5,1028.3,
2020-01-12 00:00:00,2.6,-0.5,6.2,0.5,,221,10.4,27.8,1027.8,
2020-01-13 00:00:00,2.9,-0.4,6.2,0,,215,9.1,27.8,1024.6,
2020-01-14 00:00:00,-1.6,-3.6,3,0,,200,5.2,18.5,1023.2,
2020-01-15 00:00:00,-0.2,-3.5,7.1,0,,197,3.9,14.8,1024.9,
2020-01-16 00:00:00,-0.4,-3.7,3.7,0,,209,5.6,20.4,1031.6,
2020-01-17 00:00:00,-1.4,-4.7,0.8,0,,56,7.4,25.9,1028.8,
2020-01-18 00:00:00,-0.4,-4.6,2.1,0,,195,7.2,20.4,1025.6,
2020-01-19 00:00:00,2.2,0.3,3.7,1.8,10,286,7,16.7,1031.5,
2020-01-20 00:00:00,2.1,0.2,3.6,0.5,,280,10.4,22.2,1045.1,
2020-01-21 00:00:00,1.1,-1.2,4.5,0,,222,17.7,35.2,1041.6,
2020-01-22 00:00:00,-0.4,-2,2.3,0.3,,228,20.7,40.8,1031,
2020-01-23 00:00:00,-0.4,-3.6,4,0,10,232,11.3,29.6,1034.2,
2020-01-24 00:00:00,-1.8,-6.8,4.4,0,,226,10.7,25.9,1026.1,
2020-01-25 00:00:00,-1.9,-5,3.5,0,,211,11,25.9,1023.8,
2020-01-26 00:00:00,-1.5,-3.7,1.4,0,,225,7.7,16.7,1022.6,
2020-01-27 00:00:00,-0.9,-4.4,4.6,0,,210,7.7,20.4,1017.5,
2020-01-28 00:00:00,1.1,-4.2,5.5,0.5,,6,8.5,25.9,1004.6,
2020-01-29 00:00:00,2.6,0.9,5.4,0,,227,26.1,50,1004.8,
2020-01-30 00:00:00,2.8,1.1,6,0,,223,22.2,46.3,1012.3,
2020-01-31 00:00:00,5.9,-0.1,9.6,3.3,,226,18.5,50,1006.1,
2020-02-01 00:00:00,10.4,7.5,13.6,3.8,,217,18.2,42.6,1007.9,
2020-02-02 00:00:00,7.6,5.4,12.2,5.1,,231,22.7,55.5,1007.5,
